352859,38471786,2018-02-15 00:00:00,02/15/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10026,2168 FREDERICK DOUGLASS BOULEVARD,FREDERICK DOUGLASS BOULEVARD,,,,,LATLONG,NEW YORK,,,Closed,03/17/2018 05:48:36 PM,02/15/2018 05:51:14 PM,Unspecified MANHATTAN,MANHATTAN,996796.0,232524.0,Unspecified,MANHATTAN,,,,,,,,40.80489166174983,-73.95468214968228,"(40.80489166174983, -73.95468214968228)"
352860,38471769,2018-02-15 00:00:00,02/15/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11226,305 LINDEN BOULEVARD,LINDEN BOULEVARD,NOSTRAND AVENUE,NEW YORK AVENUE,,,ADDRESS,BROOKLYN,,,Closed,03/17/2018 06:31:08 PM,02/15/2018 06:40:11 PM,17 BROOKLYN,BROOKLYN,998674.0,177093.0,Unspecified,BROOKLYN,,,,,,,,40.65274430620472,-73.94801737956669,"(40.652744306204724, -73.94801737956669)"
352861,38471484,2018-02-15 00:00:00,02/15/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11220,329 61 STREET,61 STREET,GOWANUS EXPRESSWAY EXIT 21 EB,4 AVENUE,,,ADDRESS,BROOKLYN,,,Closed,03/17/2018 08:53:58 AM,02/15/2018 08:56:47 AM,07 BROOKLYN,BROOKLYN,978645.0,172804.0,Unspecified,BROOKLYN,,,,,,,,40.640981901848335,-74.02019628485506,"(40.640981901848335, -74.02019628485506)"
352862,38471279,2018-02-15 00:00:00,02/15/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Construction Site,10472,1119 CROES AVENUE,CROES AVENUE,WATSON AVENUE,GLEASON AVENUE,,,ADDRESS,BRONX,,,Closed,03/17/2018 01:35:34 PM,02/15/2018 01:41:03 PM,09 BRONX,BRONX,1020155.0,240880.0,Unspecified,BRONX,,,,,,,,40.82776246751718,-73.87026165951012,"(40.82776246751719, -73.87026165951012)"
352863,38470988,2018-02-15 00:00:00,02/15/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11237,1482 DEKALB AVENUE,DEKALB AVENUE,,,,,LATLONG,BROOKLYN,,,Closed,03/17/2018 01:34:32 AM,02/15/2018 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,1005929.0,194824.0,Unspecified,BROOKLYN,,,,,,,,40.70139708740594,-73.92181407799994,"(40.70139708740594, -73.92181407799993)"
352864,38476744,2018-02-15 00:00:00,02/21/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11106,31 STREET,31 STREET,BROADWAY,34 AVENUE,,,BLOCKFACE,ASTORIA,,,Closed,03/17/2018 06:30:44 PM,02/21/2018 12:00:00 AM,01 QUEENS,QUEENS,1004663.0,216472.0,Unspecified,QUEENS,,,,,,,,40.76081853032617,-73.92631426532283,"(40.76081853032617, -73.92631426532283)"
352865,38479101,2018-02-15 00:00:00,03/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Commercial Building,11434,137-42 GUY R BREWER BOULEVARD,GUY R BREWER BOULEVARD,137 AVENUE,140 AVENUE,,,ADDRESS,Jamaica,,,Closed,03/17/2018 12:00:26 PM,03/09/2018 12:00:00 AM,12 QUEENS,QUEENS,1046840.0,184053.0,Unspecified,QUEENS,,,,,,,,40.671638460393936,-73.7743679064155,"(40.671638460393936, -73.7743679064155)"
352866,38479100,2018-02-15 00:00:00,02/20/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11434,120-30 178 STREET,178 STREET,TROUTVILLE ROAD,URSINA ROAD,,,ADDRESS,Jamaica,,,Closed,03/17/2018 01:21:26 PM,02/20/2018 12:00:00 AM,12 QUEENS,QUEENS,1049211.0,188700.0,Unspecified,QUEENS,,,,,,,,40.68437629859998,-73.76577588251178,"(40.68437629859998, -73.76577588251178)"
352867,38478439,2018-02-15 00:00:00,02/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10467,340 EAST 207TH STREET,EAST 207TH STREET,,,,,LATLONG,BRONX,,,Closed,03/17/2018 11:13:22 AM,02/22/2018 12:00:00 AM,07 BRONX,BRONX,1018771.0,258067.0,Unspecified,BRONX,,,,,,,,40.874941154713255,-73.87517407108095,"(40.87494115471326, -73.87517407108096)"
352868,38478392,2018-02-15 00:00:00,02/26/2018 12:00:01 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10027,2238 ADAM CLAYTON POWELL BOULEVARD,ADAM CLAYTON POWELL BOULEVARD,WEST 131 STREET,WEST 132 STREET,,,ADDRESS,NEW YORK,,,Closed,03/01/2018 02:31:32 PM,02/26/2018 03:29:06 PM,10 MANHATTAN,MANHATTAN,999407.0,235558.0,Unspecified,MANHATTAN,,,,,,,,40.813215056281344,-73.94524401600721,"(40.81321505628134, -73.9452440160072)"
